role_id,first_name,last_name,staff_role,department,performance_score,leadership_score,experience_score,potential_score,avg_performance_diff,avg_leadership_diff,avg_experience_diff,avg_potential_diff,staff_tiers
stf_1,Alistair,Finch,General Manager,Front Office,6,9,5,4,1.8,4,2.6,-2.6,High Risk
stf_2,Bernard,Shaw,Assistant GM,Front Office,6,5,1,9,1.8,0,-1.4,2.4,Hidden Gem
stf_3,Cedric,Ward,Director of Analytics,Front Office,1,3,2,5,-3.2,-2,-0.4,-1.6,Under Performer
stf_4,Dexter,Moore,Head Scout,Front Office,4,4,1,9,-0.2,-1,-1.4,2.4,Hidden Gem
stf_5,Everett,Hale,Salary Cap Specialist,Front Office,4,4,3,6,-0.2,-1,0.6,-0.6,High Risk
stf_6,Franklin,Frost,Head Coach,Coaching Staff,3,2,6,2,-1,-2,2.17,-3.33,Under Performer
stf_7,Graham,Nash,Assistant Coach 1,Coaching Staff,5,3,4,7,1,-1,0.17,1.67,Standard
stf_8,Harrison,Wells,Assistant Coach 2,Coaching Staff,6,5,2,9,2,1,-1.83,3.67,Hidden Gem
stf_9,Isaac,Clark,Player Development Coach,Coaching Staff,3,6,3,1,-1,2,-0.83,-4.33,Under Performer
stf_10,Jasper,Johns,Strength & Conditioning Coach,Coaching Staff,4,5,5,5,0,1,1.17,-0.33,High Risk
stf_11,Kenneth,Wright,Team Trainer,Coaching Staff,3,3,3,8,-1,-1,-0.83,2.67,Hidden Gem
